startDM,stopDM,dmSpacing,startTime,stopTime,clusterRank,pulseRank,pulsePeakDM,pulseMaxCount,pulseLocalPeakHeight,pulseTotalCount,pulseAvgCount,snrPeakDM,snrMax,snrLocalPeakHeight,snrIntensity,snrAvgIntensity,snrRatio,fittedWidth,fittedPeakFlux,snrMaxFitChiSquare,pulsar
48.06,48.63,0.03,75.084759,75.089347,782,3,48.06,1,0.0,20,1.0,48.18,5.54,0.23,106.14,5.31,8.68,-1.0,-1.0,-1.0,0
59.67,60.0,0.03,138.546053,138.547364,2406,2,59.67,1,0.0,12,1.0,60.0,5.89,0.54,64.2,5.35,10.13,-1.0,-1.0,-1.0,0
41.07,41.79,0.03,29.511516,29.515448,1845,1,41.07,1,0.0,25,1.0,41.22,5.82,0.58,130.95,5.24,7.06,-1.0,-1.0,-1.0,0
54.54,54.69,0.03,120.833802,120.834621,4840,1,54.54,1,0.0,6,1.0,54.69,5.88,0.39,32.92,5.49,9.28,-1.0,-1.0,-1.0,0
3.6,4.65,0.03,100.670505,100.676239,17,2,3.6,1,0.0,36,1.0,4.02,6.22,0.48,206.63,5.74,0.58,-1.0,-1.0,-1.0,0
30.15,30.39,0.03,75.420467,75.421123,2775,1,30.15,1,0.0,9,1.0,30.39,6.07,0.42,50.84,5.65,4.97,-1.0,-1.0,-1.0,0
36.63,36.78,0.03,68.049142,68.049633,6491,1,36.63,1,0.0,6,1.0,36.69,5.73,0.31,32.55,5.42,6.39,-1.0,-1.0,-1.0,0
44.58,45.99,0.03,68.112056,68.117135,439,1,44.58,1,0.0,48,1.0,44.88,6.61,1.21,259.29,5.4,6.74,1.05,6.1,8.05,0
186.4,188.1,0.05,108.591186,108.59479,918,1,186.4,1,0.0,35,1.0,187.1,6.37,0.95,189.78,5.42,29.26,0.99,6.29,4.74,0
82.35,82.68,0.03,67.723919,67.725066,4275,1,82.35,1,0.0,12,1.0,82.38,5.6,0.31,63.5,5.29,14.71,-1.0,-1.0,-1.0,0
43.29,43.98,0.03,106.629038,106.630021,1394,2,43.29,1,0.0,24,1.0,43.44,5.86,0.76,122.32,5.1,7.39,-1.0,-1.0,-1.0,0
30.18,32.31,0.03,131.122954,131.125084,1930,1,30.18,1,0.0,72,1.0,30.48,6.18,0.93,377.71,5.25,4.88,0.85,6.16,7.39,0
36.9,37.23,0.03,114.639995,114.643763,1861,1,37.05,2,0.92,13,1.08,37.02,6.23,0.73,71.56,5.5,5.92,-1.0,-1.0,-1.0,0
35.76,36.54,0.03,69.213553,69.218959,2256,1,35.76,1,0.0,27,1.0,36.03,6.11,0.5,151.46,5.61,5.85,-1.0,-1.0,-1.0,0
158.4,158.95,0.05,82.654986,82.657608,7444,3,158.4,1,0.0,12,1.0,158.5,5.36,0.21,61.84,5.15,29.55,-1.0,-1.0,-1.0,0
5.55,6.03,0.03,58.683064,58.685358,44,1,5.55,1,0.0,16,1.0,5.64,5.53,0.38,82.47,5.15,1.0,0.28,11.41,28.83,0
28.98,29.43,0.03,127.678218,127.679529,31,1,28.98,1,0.0,15,1.0,29.04,5.66,0.43,78.45,5.23,5.12,-1.0,-1.0,-1.0,0
11.31,11.64,0.03,140.577505,140.579308,223,1,11.31,1,0.0,12,1.0,11.37,5.5,0.29,62.55,5.21,2.06,-1.0,-1.0,-1.0,0
165.05,165.6,0.05,34.834678,34.837627,1373,1,165.05,1,0.0,12,1.0,165.55,5.59,0.25,64.02,5.34,29.53,-1.0,-1.0,-1.0,0
67.74,68.31,0.03,24.268472,24.269455,2256,1,67.74,1,0.0,20,1.0,67.89,6.1,0.55,111.08,5.55,11.1,-1.0,-1.0,-1.0,0
32.43,32.76,0.03,22.892216,22.893855,6404,1,32.43,1,0.0,12,1.0,32.49,5.73,0.37,64.34,5.36,5.66,-1.0,-1.0,-1.0,0
